start,end,last_train,model
2024/12/16/09:00,2025/01/03/15:00,2024-12-31,"['15C', '25C', '25P', 0.4939321535345923, 15, 5, 0.005939]"
2024/12/01/09:00,2025/01/03/15:00,2024-12-31,"['15C', '25C', '25P', 0.0, 15, 5, 0.005]"
2024/12/01/09:00,2025/01/10/15:00,2024-12-31,"['20C', '5C', '5HL', 0.029936293210935192, 1, 30, 0.003668]"
2024/11/16/09:00,2025/01/10/15:00,2024-12-31,"['20C', '5C', '5HL', 0.01656168904402774, 1, 30, 0.003668]"
2025/01/01/09:00,2025/01/10/15:00,2024-12-31,"['20C', '5C', '5HL', 0.6436704297351775, 1, 30, 0.003668]"
2024/12/01/09:00,2024/12/27/15:00,2024-12-15,"['15C', '20HL', '30C', 0.07903920971000734, 5, 20, 0.004938]"
2024/12/01/09:00,2025/01/03/15:00,2024-12-31,"['15C', '25C', '25P', 0.0, 15, 5, 0.005939]"
2024/12/01/09:00,2025/01/10/15:00,2024-12-31,"['20C', '5C', '5HL', 0.029936293210935192, 1, 30, 0.003668]"
2024/12/16/09:00,2025/01/10/15:00,2024-12-31,"['20C', '5C', '5HL', 0.023300032182218555, 1, 30, 0.003668]"
2024/12/16/09:00,2025/01/17/15:00,2025-01-15,"['10P', '20P', '5HL', 0.21979282704886807, 2, 25, 0.005]"
2024/11/01/09:00,2024/11/30/15:00,2024-11-30,"['15C', '30C', '5HL', 0.08368172417307286, 2, 30, 0.006645]"
2024/11/16/09:00,2024/12/20/15:00,2024-12-15,"['10C', '30C', '5P', 0.049081521503747755, 2, 25, 0.003326]"
