term,ensemble,self-reflection,pred_term,width,profit_rates,MDD,profit_product
2022/12/31/15:00,"['20C', '30C', '5C']",0.01,30,10,1.130289874,0.051994702,1.13502608
2023/01/15/15:00,"['10HL', '15HL', '30P']",0.31,15,20,1.111841812,0.056385152,1.11463284
2023/01/31/15:00,"['10P', '15C', '20C']",0.32,10,60,1.140173205,0.046927148,1.14558321
2023/02/15/15:00,"['20P', '30C', '40HL']",0.2,10,40,1.148428547,0.060175951,1.154225824
2023/02/28/15:00,"['10C', '25C', '5HL']",0.06,20,10,1.15299207,0.043174277,1.160838362
2023/03/15/15:00,"['10P', '20C', '40C']",0.19,15,60,1.134674302,0.047085301,1.140671682
2023/03/31/15:00,"['20C', '20HL', '40C']",0.25,5,70,1.194220178,0.037964714,1.210554632
2023/04/15/15:00,"['10C', '40C', '5HL']",0.09,35,10,1.190225867,0.029838359,1.205613604
2023/04/30/15:00,"['25P', '30C', '30HL']",0.2,5,40,1.186500595,0.030433744,1.20121791
2023/05/15/15:00,"['10P', '30P', '40P']",0.32,20,40,1.163214534,0.060941563,1.1728595
2023/05/31/15:00,"['10HL', '15HL', '20C']",0.27,35,10,1.17816804,0.036246832,1.190953205
2023/06/15/15:00,"['20C', '30P', '40C']",0.24,25,60,1.181494797,0.044193184,1.194669211
2023/06/30/15:00,"['10C', '20C', '30P']",0.24,10,70,1.149868475,0.046299664,1.157680731
2023/07/15/15:00,"['10C', '15HL', '40C']",0.32,10,60,1.136120311,0.023236539,1.144183531
2023/07/31/15:00,"['30P', '40C', '5P']",0.16,30,10,1.158360207,0.022843589,1.169364034
2023/08/15/15:00,"['30C', '30HL', '30P']",0.28,15,30,1.209676709,0.039011081,1.229582601
2023/08/31/15:00,"['20C', '40HL', '5C']",0.24,10,50,1.202398231,0.028516988,1.220780708
2023/09/15/15:00,"['10P', '40C', '5C']",0.3,5,50,1.16528758,0.034396246,1.177744181
2023/09/30/15:00,"['15HL', '30P', '40HL']",0.2,20,50,1.142366534,0.033706882,1.15094059
2023/10/15/15:00,"['30C', '30P', '40HL']",0.18,5,50,1.147492252,0.032941643,1.156608098
2023/10/31/15:00,"['30HL', '40C', '5HL']",0.2,5,60,1.214714457,0.022417527,1.236610961
2023/11/15/15:00,"['10C', '40C', '40HL']",0.04,40,70,1.160960062,0.029950359,1.172363369
2023/11/30/15:00,"['25C', '30HL', '40P']",0.14,20,30,1.146728179,0.028246804,1.155676017
2023/12/15/15:00,"['10C', '30C', '30HL']",0.1,15,10,1.15440716,0.026468134,1.163339494
