term,ensemble,self-reflection,pred_term,width,profit_rates,MDD,profit_product
2021/12/31/15:00,"['10C', '25C', '30HL']",0.01,30,10,3.072203585,0.569096113,4.2649564810000005
2022/01/15/15:00,"['20HL', '25P', '30HL']",0.01,40,20,2.542527597,0.916620928,2.667851639
2022/01/31/15:00,"['10HL', '20C', '30HL']",0.03,15,30,2.3148992980000003,0.593334888,2.4799623769999997
2022/02/15/15:00,"['15C', '20HL', '30HL']",0.03,25,70,2.350371871,0.780135858,2.202537754
2022/02/28/15:00,"['15C', '20HL', '5C']",0.13,30,60,2.169949173,0.590533612,2.189960975
2022/03/15/15:00,"['15HL', '25C', '40HL']",0.01,20,10,2.602490619,0.30522890199999997,3.3966182010000003
2022/03/31/15:00,"['15C', '20HL', '30HL']",0.1,10,30,2.723354997,0.333268843,3.4857878860000002
2022/04/15/15:00,"['25C', '30HL', '30P']",0.08,15,50,2.815130864,0.24969211100000002,4.043072418
2022/04/30/15:00,"['10C', '10P', '15HL']",0.05,35,10,3.209711856,0.152522104,5.590110413
2022/05/15/15:00,"['25P', '40HL', '5C']",0.01,40,70,2.748164387,0.23064119,3.899191366
2022/05/31/15:00,"['30C', '30P', '5P']",0.01,15,30,2.599756747,0.192660584,4.1118405319999995
2022/06/15/15:00,"['20HL', '25C', '5HL']",0.08,15,50,2.556093522,0.397798873,2.6279253
2022/06/30/15:00,"['25C', '25P', '40HL']",0.09,20,40,3.1695215414320925,0.19318937477921894,5.281125584915881
2022/07/15/15:00,"['15HL', '25C', '30HL']",0.06,40,30,3.3605394652479017,0.2309954898507217,4.8697690321821305
2022/07/31/15:00,"['10C', '20HL', '25C']",0.08,25,10,3.1551527356253737,0.2399601699533963,3.6964825417656852
2022/08/15/15:00,"['25P', '30HL', '40HL']",0.05,35,40,2.777901677727185,0.3530096609751313,3.5477313451221786
2022/08/31/15:00,"['30C', '30P', '40P']",0.08,35,60,2.396535308416317,0.2567261766337393,2.468978625297253
2022/09/15/15:00,"['10HL', '20C', '20HL']",0.3,5,40,2.6549301640738143,0.40262338484391613,3.1637727204744226
2022/09/30/15:00,"['15P', '30C', '30P']",0.11,40,50,2.5904535142739755,0.3917918096053347,3.150799518707056
