date,시가,고가,저가,종가,PDI,MDI,ADX,SlowK,SlowD,거래량,미결제
2025/08/26/04:00,431.9,432,431.4,431.4,10.47857902,37.70748607,36.23911618,11.37440758,32.15609685,661,271754
2025/08/26/05:00,431.4,432.45,431.35,432.05,16.73065696,29.96032287,35.18517028,15.23809524,26.51676298,371,271769
2025/08/27/00:00,430.35,430.7,430.2,430.5,17.72903034,16.61177969,33.72802854,52.10355987,36.92459872,863,268766
2025/08/27/01:00,430.45,430.6,430.05,430.1,15.99650675,17.6535932,29.88755303,61.83206107,45.22708617,427,268717
2025/08/27/02:00,430.1,430.2,429.65,429.85,14.37556635,23.2342586,29.04310555,72.55813953,54.33743729,501,268671
2025/08/27/03:00,429.85,430.25,429.85,430.15,14.22858013,21.41341349,27.85846981,76.73267327,61.80251595,428,268695
2025/08/27/04:00,430.15,430.55,430.05,430.4,18.87682253,19.23880897,24.27063463,75.6097561,66.40492933,527,268797
2025/08/27/05:00,430.35,430.85,430.35,430.8,23.19009583,17.22091429,23.00404018,77.40384615,70.07123494,233,268842
2025/08/28/00:00,429.75,430.25,429.6,430.2,18.82259186,28.79558505,38.17202638,55.79937304,58.3099584,1487,265025
2025/08/28/01:00,430.25,430.4,429.8,430.3,19.50729132,25.60390321,34.88437378,57.25490196,57.95827292,939,264994
2025/08/28/02:00,430.3,430.6,430.2,430.6,21.90287942,23.59239263,30.72827084,65.96858639,60.62837741,555,264944
2025/08/28/03:00,430.55,430.8,430.45,430.6,24.49263205,21.85861001,27.38886715,76.79558011,66.01744498,365,264925
2025/08/28/04:00,430.6,430.9,430.4,430.7,24.00721486,19.49684413,25.11937832,84.69945355,72.24478117,459,264903
2025/08/28/05:00,430.7,430.85,429.3,429.4,17.31526092,33.84423426,26.07795598,74.05405405,72.84787213,1101,264879
2025/08/29/00:00,433.55,433.9,433.25,433.75,27.63231754,12.96599889,21.45689338,77.77777778,79.50584593,1272,264991
2025/08/29/01:00,433.75,434.15,433.75,433.9,30.11829246,12.04155695,24.31286233,75.82417582,78.27862256,586,264871
