start,end,last_train,model
2024/12/01/09:00,2024/12/27/15:00,2024-12-15,"['15C', '15HL', '30C', 0.4939321535345923, 30, 65, 0.001]"
2024/12/01/09:00,2025/01/03/15:00,2024-12-31,"['30C', '5C', '5P', 0.0, 2, 5, 0.007437]"
2024/12/01/09:00,2025/01/10/15:00,2024-12-31,"['10P', '20P', '5P', 0.0, 5, 5, 0.001692]"
2024/12/16/09:00,2025/01/17/15:00,2025-01-15,"['25P', '30C', '5P', 0.023047030482864835, 1, 10, 0.001449]"
2024/11/01/09:00,2024/11/30/15:00,2024-11-30,"['10HL', '25P', '30HL', 0.0, 15, 5, 0.002735]"
2024/11/01/09:00,2024/12/06/15:00,2024-11-30,"['15C', '20HL', '25C', 0.0, 25, 5, 0.002764]"
2024/11/16/09:00,2024/12/15/15:00,2024-12-15,"['20HL', '30HL', '5C', 0.0, 35, 5, 0.009026]"
