dates,model0,model1,model2,model3,model4,model5,model6,model7,model8,model9
2021/01/04/10:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021/01/04/11:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021/01/04/12:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021/01/04/13:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021/01/04/14:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021/01/04/15:00,1.011659272341721,1.0,1.0,1.0411203044658344,1.011659272341721,1.0411203044658344,1.0,1.0,1.0,1.011659272341721
2021/01/05/09:00,1.011659272341721,1.0,1.0,1.0411203044658344,1.011659272341721,1.0411203044658344,1.0,1.0,1.0,1.011659272341721
2021/01/05/10:00,1.011659272341721,1.0,1.0,1.0411203044658344,1.011659272341721,1.0411203044658344,1.0,1.0,1.0,1.011659272341721
2021/01/05/11:00,1.011659272341721,1.0,1.0,1.0411203044658344,1.011659272341721,1.0411203044658344,1.0,1.0,1.0,1.009364900485244
2021/01/05/12:00,1.011659272341721,1.0,1.0349194704261468,1.0411203044658344,0.9752541731518372,1.0411203044658344,1.0,1.0349194704261468,0.9635949008101161,1.009364900485244
2021/01/05/13:00,1.011659272341721,1.0,1.0047184613976086,0.9752559407607363,0.9752541731518372,0.9752559407607363,0.9356862169330136,1.0047184613976086,0.9635949008101161,1.009364900485244
2021/01/05/14:00,1.011659272341721,1.0,0.8799305449315269,0.8504680242946546,0.8504653728813059,0.8504680242946546,0.8108983004669319,0.8799305449315269,0.8388061005395848,0.8985298839609801
2021/01/05/15:00,1.1892214627886588,1.1775621904469378,0.9489520907106777,0.9194895700738054,0.9194869186604566,0.9194895700738054,0.8799198462460827,0.9489520907106777,0.9078276463187356,0.9675514297401309
2021/01/06/09:00,1.1892214627886588,1.1775621904469378,0.9489520907106777,0.9194895700738054,0.9194869186604566,0.9194895700738054,0.8799198462460827,0.9489520907106777,0.9078276463187356,0.9675514297401309
2021/01/06/10:00,1.1892214627886588,1.1775621904469378,0.9489520907106777,0.9194895700738054,0.9194869186604566,0.9194895700738054,0.8799198462460827,0.9489520907106777,0.9078276463187356,0.9675514297401309
2021/01/06/11:00,1.1892214627886588,1.1775621904469378,0.9489520907106777,0.9194895700738054,0.9194869186604566,0.9194895700738054,0.8799198462460827,0.9489520907106777,0.9078276463187356,0.9675514297401309
2021/01/06/12:00,1.1892214627886588,1.1775621904469378,0.9489520907106777,0.9194895700738054,0.9194869186604566,0.9194895700738054,0.8799198462460827,0.9489520907106777,0.9078276463187356,0.9675514297401309
2021/01/06/13:00,1.1892214627886588,1.1775621904469378,0.9489520907106777,0.9194895700738054,0.9194869186604566,0.9194895700738054,0.8799198462460827,0.9489520907106777,0.9078276463187356,0.9675514297401309
2021/01/06/14:00,1.1892214627886588,1.1775621904469378,0.9489520907106777,0.9194895700738054,0.9194869186604566,0.9194895700738054,0.8799198462460827,0.9489520907106777,0.9078276463187356,0.9675514297401309
2021/01/06/15:00,1.1124924289633864,1.1008331566216654,0.8722230568854051,0.842760536248533,0.8427578848351842,0.842760536248533,0.8404047477354815,0.8722230568854051,0.8466044188745756,0.8908223959148583
2021/01/07/09:00,1.1124924289633864,1.1008331566216654,0.8722230568854051,0.842760536248533,0.8427578848351842,0.842760536248533,0.8404047477354815,0.8722230568854051,0.8466044188745756,0.8908223959148583
2021/01/07/10:00,1.1124924289633864,1.1008331566216654,0.8722230568854051,0.842760536248533,0.8427578848351842,0.842760536248533,0.8404047477354815,0.8722230568854051,0.8466044188745756,0.8908223959148583
2021/01/07/11:00,1.1124924289633864,1.1008331566216654,0.8722230568854051,0.842760536248533,0.8427578848351842,0.842760536248533,0.8404047477354815,0.8722230568854051,0.8466044188745756,0.8908223959148583
2021/01/07/12:00,1.1124924289633864,1.1008331566216654,0.8722230568854051,0.842760536248533,0.8427578848351842,0.842760536248533,0.8404047477354815,0.8722230568854051,0.8466044188745756,0.8908223959148583
2021/01/07/13:00,1.1124924289633864,1.1008331566216654,0.8722230568854051,0.842760536248533,0.8427578848351842,0.842760536248533,0.8404047477354815,0.8722230568854051,0.8466044188745756,0.8908223959148583
2021/01/07/14:00,1.1124924289633864,1.1008331566216654,0.8722230568854051,0.842760536248533,0.8427578848351842,0.842760536248533,0.8404047477354815,0.8722230568854051,0.8466044188745756,0.8908223959148583
2021/01/07/15:00,1.1690977006317322,1.1574384282900112,0.9288283285537511,0.8993658079168788,0.89936315650353,0.8993658079168788,0.8970100194038274,0.9288283285537511,0.8466044188745756,0.9474276675832043
2021/01/08/09:00,1.1690977006317322,1.1574384282900112,0.9288283285537511,0.8993658079168788,0.89936315650353,0.8993658079168788,0.8970100194038274,0.9288283285537511,0.8466044188745756,0.9474276675832043
2021/01/08/10:00,1.1690977006317322,1.1574384282900112,0.9288283285537511,0.8993658079168788,0.89936315650353,0.8993658079168788,0.8970100194038274,0.9288283285537511,0.8466044188745756,0.9474276675832043
2021/01/08/11:00,1.1690977006317322,1.1574384282900112,0.9288283285537511,0.8993658079168788,0.89936315650353,0.8993658079168788,0.8970100194038274,0.9288283285537511,0.8466044188745756,0.9474276675832043
2021/01/08/12:00,1.1690977006317322,1.1574384282900112,0.9288283285537511,0.8993658079168788,0.89936315650353,0.8993658079168788,0.8970100194038274,0.9288283285537511,0.8466044188745756,0.9474276675832043
2021/01/08/13:00,1.1690977006317322,1.1574384282900112,0.9288283285537511,0.8993658079168788,0.89936315650353,0.8993658079168788,0.8970100194038274,0.9288283285537511,0.8466044188745756,0.9474276675832043
2021/01/08/14:00,1.1690977006317322,1.1574384282900112,0.9288283285537511,0.8993658079168788,0.89936315650353,0.8993658079168788,0.8970100194038274,0.9288283285537511,0.8466044188745756,0.9474276675832043
2021/01/08/15:00,1.518728198013545,1.507068925671824,1.2784588259355638,1.2489963052986917,1.199375073465784,1.2489963052986917,1.2466405167856403,1.2784588259355638,1.028772207340375,1.297058164965017
2021/01/11/09:00,1.518728198013545,1.507068925671824,1.2784588259355638,1.2489963052986917,1.199375073465784,1.2489963052986917,1.2466405167856403,1.2784588259355638,1.028772207340375,1.297058164965017
2021/01/11/10:00,1.3799103975864837,1.3682511252447627,1.1396410255085025,1.1101785048716302,1.0605572730387227,1.1101785048716302,1.1078227163585788,1.1396410255085025,0.8899544069133134,1.1582403645379558
2021/01/11/11:00,1.242647922431947,1.230988650090226,1.002378550353966,0.9729160297170937,0.9232947978841861,0.9729160297170937,0.9705602412040422,1.002378550353966,0.7526919317587768,1.0209778893834192
2021/01/11/12:00,1.1053925177130073,1.0937332453712862,0.865123145635026,0.8356606249981539,0.7860393931652462,0.8356606249981539,0.8333048364851023,0.865123145635026,0.615436527039837,0.8837224846644792
2021/01/11/13:00,0.9696951361959646,0.9580358638542436,0.7294257641179833,0.6999632434811112,0.6503420116482035,0.6999632434811112,0.6976074549680596,0.7294257641179833,0.4797391455227944,0.7480251031474365
2021/01/11/14:00,0.9696951361959646,0.9580358638542436,0.7294257641179833,0.6999632434811112,0.6503420116482035,0.6999632434811112,0.6976074549680596,0.7294257641179833,0.4797391455227944,0.7480251031474365
2021/01/11/15:00,1.066576896155563,1.054917623813842,0.8263075240775819,0.7968450034407097,0.7472237716078021,0.7968450034407097,0.7944892149276582,0.8263075240775819,0.576620905482393,0.8449068631070351
2021/01/12/09:00,1.066576896155563,1.054917623813842,0.8263075240775819,0.7968450034407097,0.7472237716078021,0.7968450034407097,0.7944892149276582,0.8263075240775819,0.576620905482393,0.8449068631070351
2021/01/12/10:00,1.066576896155563,1.054917623813842,0.8263075240775819,0.7968450034407097,0.7472237716078021,0.7968450034407097,0.7944892149276582,0.8263075240775819,0.576620905482393,0.8449068631070351
2021/01/12/11:00,1.066576896155563,1.054917623813842,0.8263075240775819,0.7968450034407097,0.7472237716078021,0.7968450034407097,0.7944892149276582,0.8263075240775819,0.576620905482393,0.8449068631070351
2021/01/12/12:00,0.9324407474460505,1.054917623813842,0.6921713753680694,0.6627088547311971,0.6130876228982896,0.6627088547311971,0.6603530662181456,0.6921713753680694,0.44248475677288035,0.7107707143975225
2021/01/12/13:00,0.9324407474460505,1.054917623813842,0.5595952035334477,0.5301326828965756,0.480511451063668,0.6627088547311971,0.5277768943835242,0.6921713753680694,0.44248475677288035,0.7107707143975225
2021/01/12/14:00,0.9324407474460505,0.9238893346879594,0.5595952035334477,0.5301326828965756,0.480511451063668,0.5735429867126609,0.5277768943835242,0.5611430862421867,0.44248475677288035,0.5797424252716398
2021/01/12/15:00,1.0603431442764628,1.0517917315183716,0.8425556641749843,0.8130931435381121,0.7634719117052045,0.7014453835430732,0.8107373550250606,0.6890454830725988,0.31299848933675556,0.707644822102052
2021/01/13/09:00,1.0603431442764628,1.0517917315183716,0.8425556641749843,0.8130931435381121,0.7634719117052045,0.7014453835430732,0.8107373550250606,0.6890454830725988,0.31299848933675556,0.707644822102052
2021/01/13/10:00,1.0603431442764628,0.9734700665695983,0.8425556641749843,0.8130931435381121,0.7634719117052045,0.7014453835430732,0.8107373550250606,0.6890454830725988,0.31299848933675556,0.707644822102052
2021/01/13/11:00,1.0603431442764628,0.9734700665695983,0.8425556641749843,0.8130931435381121,0.7634719117052045,0.7014453835430732,0.8107373550250606,0.6890454830725988,0.31299848933675556,0.707644822102052
2021/01/13/12:00,1.0603431442764628,0.8393268939405126,0.8425556641749843,0.8130931435381121,0.7634719117052045,0.7014453835430732,0.8107373550250606,0.6890454830725988,0.31299848933675556,0.707644822102052
2021/01/13/13:00,1.0603431442764628,0.8393268939405126,0.8425556641749843,0.8130931435381121,0.7634719117052045,0.7014453835430732,0.8107373550250606,0.6890454830725988,0.31299848933675556,0.707644822102052
2021/01/13/14:00,1.0603431442764628,0.8393268939405126,0.8425556641749843,0.8130931435381121,0.7634719117052045,0.7014453835430732,0.8107373550250606,0.6890454830725988,0.31299848933675556,0.707644822102052
2021/01/13/15:00,1.0672982976612049,0.7703035960578043,0.9270398494652886,0.8200482969228542,0.7704270650899466,0.7084005369278152,0.8176925084098028,0.7735296683629032,0.31995364272149773,0.7145999754867942
2021/01/14/09:00,1.0672982976612049,0.7703035960578043,0.9270398494652886,0.8200482969228542,0.7704270650899466,0.7084005369278152,0.8176925084098028,0.7735296683629032,0.31995364272149773,0.7145999754867942
2021/01/14/10:00,1.0672982976612049,0.7703035960578043,0.9270398494652886,0.8200482969228542,0.7704270650899466,0.7084005369278152,0.8176925084098028,0.7735296683629032,0.31995364272149773,0.7145999754867942
2021/01/14/11:00,1.0672982976612049,0.7703035960578043,0.9270398494652886,0.8200482969228542,0.7704270650899466,0.7084005369278152,0.8176925084098028,0.7735296683629032,0.31995364272149773,0.7145999754867942
2021/01/14/12:00,1.0672982976612049,0.7703035960578043,0.9270398494652886,0.8200482969228542,0.7704270650899466,0.7084005369278152,0.8230949414193448,0.7735296683629032,0.31995364272149773,0.7145999754867942
2021/01/14/13:00,1.0672982976612049,0.7703035960578043,0.9076335504573362,0.8200482969228542,0.7704270650899466,0.7084005369278152,0.8230949414193448,0.7735296683629032,0.3005473437135453,0.7145999754867942
2021/01/14/14:00,1.0672982976612049,0.7703035960578043,0.900631896554273,0.8200482969228542,0.7704270650899466,0.7084005369278152,0.8230949414193448,0.7735296683629032,0.3005473437135453,0.7145999754867942
2021/01/14/15:00,1.083554329977288,0.7865596283738874,0.9106856063179114,0.8363043292389374,0.7866830974060297,0.7060496015865645,0.8145421486858861,0.7897857006789862,0.2826916253437044,0.7277548465266559
2021/01/15/09:00,1.083554329977288,0.7865596283738874,0.9106856063179114,0.8363043292389374,0.7866830974060297,0.7060496015865645,0.8145421486858861,0.7897857006789862,0.2826916253437044,0.7277548465266559
2021/01/15/10:00,1.083554329977288,0.7865596283738874,0.9106856063179114,0.8363043292389374,0.6525479720490377,0.5719144762295725,0.8145421486858861,0.7897857006789862,0.2826916253437044,0.7277548465266559
2021/01/15/11:00,1.083554329977288,0.7865596283738874,0.9106856063179114,0.8363043292389374,0.6525479720490377,0.5719144762295725,0.8928271745133548,0.7897857006789862,0.2826916253437044,0.8060398723541246
2021/01/15/12:00,0.9509743903447498,0.7865596283738874,0.9106856063179114,0.8363043292389374,0.6765719787473454,0.43933453659703425,0.8928271745133548,0.7897857006789862,0.2826916253437044,0.7292761375752015
2021/01/15/13:00,0.9509743903447498,0.7865596283738874,0.9106856063179114,1.0091747739911923,0.6943936628932086,0.43933453659703425,0.8928271745133548,0.7897857006789862,0.2826916253437044,0.7292761375752015
2021/01/15/14:00,0.9509743903447498,0.7865596283738874,0.9106856063179114,1.0068401192582235,0.6943936628932086,0.43933453659703425,0.7602448160475862,0.7897857006789862,0.2826916253437044,0.7292761375752015
2021/01/15/15:00,1.0323698806531743,1.0230038792887035,1.1471298572327278,1.068079270687816,0.630039503917683,0.5207300269054587,0.6974412377101722,1.0262299515938025,0.5191358762585206,0.810671627883626
2021/01/18/09:00,1.0323698806531743,1.0230038792887035,1.1471298572327278,1.068079270687816,0.630039503917683,0.5207300269054587,0.6974412377101722,1.0262299515938025,0.5191358762585206,0.810671627883626
2021/01/18/10:00,1.0323698806531743,1.0230038792887035,1.1471298572327278,1.068079270687816,0.630039503917683,0.5207300269054587,0.6974412377101722,1.0262299515938025,0.5191358762585206,0.810671627883626
2021/01/18/11:00,1.0323698806531743,1.0230038792887035,1.1471298572327278,1.068079270687816,0.630039503917683,0.5207300269054587,0.6974412377101722,1.0262299515938025,0.5191358762585206,0.810671627883626
2021/01/18/12:00,1.0323698806531743,1.0230038792887035,1.1471298572327278,1.068079270687816,0.630039503917683,0.5207300269054587,0.6974412377101722,1.0262299515938025,0.5191358762585206,0.810671627883626
2021/01/18/13:00,1.0323698806531743,1.0230038792887035,1.1471298572327278,1.068079270687816,0.630039503917683,0.5207300269054587,0.6974412377101722,1.0262299515938025,0.5191358762585206,0.810671627883626
2021/01/18/14:00,1.0323698806531743,1.0230038792887035,1.1471298572327278,1.068079270687816,0.630039503917683,0.5207300269054587,0.6974412377101722,1.0262299515938025,0.5191358762585206,0.810671627883626
2021/01/18/15:00,1.0323698806531743,1.0230038792887035,1.3076193800521596,1.2223668430829924,0.7843270763128596,0.6812195497248905,0.6974412377101722,1.180517523988979,0.5191358762585206,0.9649592002788026
2021/01/19/09:00,1.0323698806531743,1.0230038792887035,1.3076193800521596,1.2223668430829924,0.7843270763128596,0.6812195497248905,0.6974412377101722,1.180517523988979,0.5191358762585206,0.9649592002788026
2021/01/19/10:00,1.0323698806531743,1.0230038792887035,1.3076193800521596,1.2223668430829924,0.7843270763128596,0.5982657726237681,0.6974412377101722,1.180517523988979,0.5191358762585206,0.9649592002788026
2021/01/19/11:00,1.0323698806531743,0.8919808929895184,1.3076193800521596,1.2223668430829924,0.7843270763128596,0.5982657726237681,0.6974412377101722,1.180517523988979,0.5191358762585206,0.9649592002788026
2021/01/19/12:00,1.0323698806531743,0.8919808929895184,1.3076193800521596,1.2223668430829924,0.7843270763128596,0.5982657726237681,0.6974412377101722,1.180517523988979,0.5191358762585206,0.9649592002788026
2021/01/19/13:00,1.0323698806531743,0.8919808929895184,1.3076193800521596,1.2223668430829924,0.7843270763128596,0.5982657726237681,0.6974412377101722,1.180517523988979,0.5191358762585206,0.9649592002788026
2021/01/19/14:00,1.0323698806531743,0.8919808929895184,1.3076193800521596,1.2223668430829924,0.7843270763128596,0.5982657726237681,0.6974412377101722,1.180517523988979,0.5191358762585206,0.9649592002788026
