start,end,last_train,model
2025/01/01/09:00,2025/01/15/15:00,2024-12-31,"['10C', '10HL', '20HL', 0.2726990559476588, 10, 100, 0.001]"
2025/01/01/09:00,2025/01/10/15:00,2024-12-31,"['10C', '10HL', '20HL', 0.2602214239477902, 10, 100, 0.003940823689508633]"
2025/01/01/09:00,2025/01/15/15:00,2024-12-31,"['10C', '10HL', '20HL', 0.25911719504225666, 10, 100, 0.001042011483995521]"
2025/01/01/09:00,2025/01/15/15:00,2024-12-31,"['10C', '15C', '20C', 0.27056785082949397, 4, 100, 0.001]"
2025/01/01/09:00,2025/01/15/15:00,2024-12-31,"['15C', '20HL', '40C', 0.29566290620967417, 1, 100, 0.0036468260101719867]"
2025/01/01/09:00,2025/01/15/15:00,2024-12-31,"['20HL', '20P', '30HL', 0.18228744475960376, 1, 100, 0.003941267657422547]"
2025/01/01/09:00,2025/01/15/15:00,2024-12-31,"['10P', '15P', '30HL', 0.3, 2, 100, 0.001]"
2025/01/01/09:00,2025/01/15/15:00,2024-12-31,"['15HL', '20C', '5HL', 0.13767073201549127, 20, 100, 0.001]"
