term,ensemble,self-reflection,pred_term,width,profit_rates,MDD,profit_product
2022/12/31/15:00,"['10C', '10HL', '5P']",0.02,15,10,1.148425795,0.03951881803659296,1.1563449853049057
2023/01/15/15:00,"['10C', '25C', '5P']",0.32,20,60,1.142477722499999,0.04711725355368695,1.1484788961430286
2023/01/31/15:00,"['25HL', '5HL', '5P']",0.21,20,20,1.1822770175000004,0.054276163016976124,1.1941086080657393
2023/02/15/15:00,"['25HL', '25P', '40HL']",0.32,25,20,1.1961583162500011,0.05676522248409231,1.21178620159634
2023/02/28/15:00,"['15C', '40HL', '5C']",0.31,5,60,1.175027272499999,0.034261533958563684,1.187558677177394
2023/03/15/15:00,"['10C', '15C', '5C']",0.16,35,40,1.209006716249999,0.026119262662092423,1.2273002067222398
2023/03/31/15:00,"['20HL', '25C', '5HL']",0.13,15,10,1.2018244162499996,0.050300046440689375,1.218604585601706
2023/04/15/15:00,"['10C', '20P', '40HL']",0.25,35,60,1.1828728187499975,0.028739599019826364,1.1978259740155008
2023/04/30/15:00,"['20HL', '40HL', '5HL']",0.26,35,20,1.1875759987499983,0.0639994801517176,1.200123530117823
2023/05/15/15:00,"['20C', '25HL', '40HL']",0.3,25,30,1.2129030825,0.05617416403201125,1.2321139608313976
2023/05/31/15:00,"['20HL', '25HL', '25P']",0.32,30,20,1.2120426787500005,0.039587161851948216,1.2314006258559935
2023/06/15/15:00,"['10C', '15C', '20HL']",0.17,35,40,1.176347757499998,0.045703781735831485,1.1888552341801166
2023/06/30/15:00,"['10C', '15C', '25C']",0.31,5,40,1.1853446887499977,0.017976171132388988,1.2019790860959108
2023/07/15/15:00,"['25HL', '30P', '5HL']",0.28,10,50,1.1825258700000003,0.04502751251413485,1.1971214246780626
2023/07/31/15:00,"['20P', '25C', '5P']",0.22,35,20,1.167144803750001,0.026220167744110817,1.179075920047229
2023/08/15/15:00,"['15C', '40P', '5P']",0.22,5,10,1.1882174687500011,0.025386206088478937,1.20420678389251
2023/08/31/15:00,"['10HL', '25HL', '25P']",0.32,40,20,1.2341874412499998,0.02579956162867835,1.2604348827750658
2023/09/15/15:00,"['10C', '25C', '5HL']",0.17,30,60,1.1678225899999997,0.03486606565185215,1.1796413699199435
2023/09/30/15:00,"['15C', '15HL', '5HL']",0.23,5,70,1.1476998074999991,0.024031085059899454,1.1563439841807241
2023/10/15/15:00,"['40P', '5C', '5P']",0.09,15,10,1.1539868424999993,0.02108627912293217,1.1640036999942345
2023/10/31/15:00,"['20C', '20HL', '5HL']",0.31,15,30,1.1568724624999989,0.037031273520465265,1.165598004406922
2023/11/15/15:00,"['10C', '15HL', '5HL']",0.09,35,10,1.1418561837500012,0.02660359189583985,1.1492172641442482
2023/11/30/15:00,"['15C', '40P', '5P']",0.18,15,40,1.1777382574999993,0.028900599438572552,1.1901077094432249
2023/12/15/15:00,"['15C', '30C', '30HL']",0.17,5,40,1.1430628849999998,0.02457813487579153,1.1512497863249649
