dates,model0,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49
2025/04/16/15:00,0.9822806374999997,0.9765182499999997,1.0272846500000017,0.9790260500000011,0.9727683625000003,1.0302700875000006,0.9832565749999994,1.0190197874999998,1.0327696374999997,1.063533150000001,0.9897819124999995,1.0115202374999996,0.9972828874999997,1.0047806374999997,0.9995069875000003,0.9615180624999994,0.9972808249999997,1.0152702374999998,0.9845119375000011,1.0705397250000006,1.0085266625000018,1.0152702374999998,1.0082573249999995,1.0227697874999997,1.0190197874999998,1.0222806374999998,1.0015189999999998,0.9832565749999994,1.0085317625000003,1.0440207249999993,1.0485308250000003,1.052283487500001,0.9917876625000006,0.9722798499999994,0.9765182499999997,1.0252751875000008,0.9472792874999997,1.0115202374999996,0.9765182499999997,1.0277697874999998,0.9977691125000003,1.0190197874999998,1.0047806374999997,1.0115202374999996,1.0347822124999995,0.9832565749999994,0.9685254625000012,0.9827692624999994,1.0302700875000006,1.034019975
2025/04/17/09:00,0.9822806374999997,0.9765182499999997,1.0272846500000017,0.9790260500000011,0.9727683625000003,1.0302700875000006,0.9832565749999994,1.0190197874999998,1.0327696374999997,1.063533150000001,0.9897819124999995,1.0115202374999996,0.9972828874999997,1.0047806374999997,0.9995069875000003,0.9615180624999994,0.9972808249999997,1.0152702374999998,0.9845119375000011,1.0705397250000006,1.0085266625000018,1.0152702374999998,1.0082573249999995,1.0227697874999997,1.0190197874999998,1.0222806374999998,1.0015189999999998,0.9832565749999994,1.0085317625000003,1.0440207249999993,1.0485308250000003,1.052283487500001,0.9917876625000006,0.9722798499999994,0.9765182499999997,1.0252751875000008,0.9472792874999997,1.0115202374999996,0.9765182499999997,1.0277697874999998,0.9977691125000003,1.0190197874999998,1.0047806374999997,1.0115202374999996,1.0347822124999995,0.9832565749999994,0.9685254625000012,0.9827692624999994,1.0302700875000006,1.034019975
2025/04/17/10:00,0.9530437749999997,0.9765182499999997,1.0272846500000017,0.9622891875000011,0.9727683625000003,1.0302700875000006,0.9832565749999994,1.0190197874999998,1.0327696374999997,1.063533150000001,0.9605450499999995,1.0115202374999996,0.9972828874999997,1.0047806374999997,0.9995069875000003,0.9615180624999994,0.9972808249999997,1.0152702374999998,0.9845119375000011,1.0705397250000006,1.0085266625000018,1.0152702374999998,1.0082573249999995,1.0227697874999997,1.0190197874999998,1.0130437749999996,1.0015189999999998,0.9832565749999994,1.0085317625000003,1.0440207249999993,1.0317939625000003,1.052283487500001,0.9917876625000006,0.9722798499999994,0.9765182499999997,1.0252751875000008,0.9472792874999997,1.0115202374999996,0.9765182499999997,1.0277697874999998,0.9977691125000003,1.0190197874999998,1.0047806374999997,0.9822833749999997,1.0255453499999994,0.9832565749999994,0.9685254625000012,0.9827692624999994,1.0302700875000006,1.034019975
2025/04/17/11:00,0.9530437749999997,0.9765182499999997,1.0272846500000017,0.9622891875000011,0.9727683625000003,1.0302700875000006,0.9832565749999994,1.0190197874999998,1.0460324375000003,1.0767959500000015,0.9605450499999995,1.0115202374999996,0.9972828874999997,1.0047806374999997,0.9995069875000003,0.9615180624999994,0.9972808249999997,1.0152702374999998,0.9845119375000011,1.0705397250000006,1.0085266625000018,1.0152702374999998,1.0082573249999995,1.0060324749999998,1.0190197874999998,1.0130437749999996,1.0015189999999998,0.9832565749999994,1.0085317625000003,1.0440207249999993,1.0317939625000003,1.061796175000002,0.9917876625000006,0.9722798499999994,0.9765182499999997,1.0252751875000008,0.9472792874999997,1.0115202374999996,0.9765182499999997,1.0277697874999998,0.9977691125000003,1.0190197874999998,1.0047806374999997,0.9822833749999997,1.0255453499999994,0.9832565749999994,0.9685254625000012,0.9827692624999994,1.0302700875000006,1.034019975
2025/04/17/12:00,0.9530437749999997,0.9765182499999997,0.9855469625000017,0.9622891875000011,0.9397806750000003,1.0302700875000006,0.9832565749999994,1.0190197874999998,1.0460324375000003,1.0588078125000013,0.9605450499999995,1.0115202374999996,0.9972828874999997,1.0047806374999997,0.9995069875000003,0.9615180624999994,0.9972808249999997,1.0152702374999998,0.9845119375000011,1.0705397250000006,1.0085266625000018,1.0152702374999998,1.0082573249999995,1.0060324749999998,1.0190197874999998,1.0130437749999996,1.0015189999999998,0.9832565749999994,0.9755440750000003,1.0440207249999993,1.0317939625000003,1.0438080375000025,0.9917876625000006,0.9722798499999994,0.9765182499999997,0.9835375000000008,0.9472792874999997,1.0115202374999996,0.9765182499999997,1.0277697874999998,0.9977691125000003,1.0190197874999998,1.0047806374999997,0.9822833749999997,1.0255453499999994,0.9832565749999994,0.9685254625000012,0.9827692624999994,1.0302700875000006,1.0047821749999994
2025/04/17/13:00,0.9530437749999997,0.9765182499999997,0.9855469625000017,0.9622891875000011,0.9397806750000003,1.0302700875000006,0.9832565749999994,1.0190197874999998,1.0460324375000003,1.0588078125000013,0.9605450499999995,1.0115202374999996,0.9972828874999997,1.0047806374999997,0.9995069875000003,0.9615180624999994,0.9972808249999997,1.0152702374999998,0.9845119375000011,1.0705397250000006,0.9955383375000016,1.0152702374999998,1.0082573249999995,1.0060324749999998,1.0190197874999998,1.0130437749999996,1.0015189999999998,0.9832565749999994,0.9755440750000003,1.0440207249999993,1.0317939625000003,1.0438080375000025,0.9917876625000006,0.9722798499999994,0.9765182499999997,0.9835375000000008,0.9472792874999997,1.0115202374999996,0.9765182499999997,1.0277697874999998,0.9977691125000003,1.0190197874999998,1.0047806374999997,0.9822833749999997,1.0255453499999994,0.9832565749999994,0.9685254625000012,0.9827692624999994,1.0302700875000006,1.0047821749999994
2025/04/17/14:00,0.9530437749999997,0.9765182499999997,0.9855469625000017,0.9622891875000011,0.9397806750000003,1.0302700875000006,0.9832565749999994,1.0190197874999998,1.0117936250000004,1.0588078125000013,0.9605450499999995,0.9822814249999997,0.9972828874999997,1.0355416374999986,0.9995069875000003,0.9615180624999994,0.9972808249999997,1.0152702374999998,0.9845119375000011,1.0705397250000006,0.9955383375000016,1.0152702374999998,1.0082573249999995,1.0060324749999998,1.0190197874999998,1.0130437749999996,1.0015189999999998,0.9832565749999994,0.9755440750000003,1.0440207249999993,1.0317939625000003,1.0438080375000025,0.9917876625000006,0.9722798499999994,0.9765182499999997,0.9835375000000008,0.9472792874999997,1.0115202374999996,0.9765182499999997,1.0277697874999998,0.9977691125000003,1.0190197874999998,1.0567922749999992,0.9822833749999997,1.0255453499999994,0.9832565749999994,0.9685254625000012,0.9827692624999994,1.0302700875000006,1.0047821749999994
2025/04/17/15:00,0.9530437749999997,0.9765182499999997,0.9855469625000017,0.9622891875000011,0.9397806750000003,1.0185304125000012,0.9832565749999994,1.0297807874999998,1.0117936250000004,1.0588078125000013,0.9605450499999995,0.9822814249999997,1.0392948249999998,1.043801962499998,0.9995069875000003,0.9497783875,0.9972808249999997,1.0152702374999998,0.9845119375000011,1.0975512125,0.9955383375000016,1.0152702374999998,1.0082573249999995,1.0060324749999998,1.0190197874999998,1.0130437749999996,1.0097793249999991,0.9715169,0.9755440750000003,1.08228255,1.0317939625000003,1.0545690375000025,1.01879915,0.9830408499999994,0.9765182499999997,0.9835375000000008,0.9472792874999997,0.9997805625000002,1.0147800750000002,1.0277697874999998,0.9977691125000003,1.0572816125000002,1.0650525999999987,0.9822833749999997,1.0255453499999994,1.010268062499999,1.0067872875000017,0.9827692624999994,1.0302700875000006,1.0155431749999995
2025/04/18/09:00,0.9530437749999997,0.9765182499999997,0.9855469625000017,0.9622891875000011,0.9397806750000003,1.0185304125000012,0.9832565749999994,1.0297807874999998,1.0117936250000004,1.0588078125000013,0.9605450499999995,0.9822814249999997,1.0392948249999998,1.043801962499998,0.9995069875000003,0.9497783875,0.9972808249999997,1.0152702374999998,0.9845119375000011,1.0975512125,0.9955383375000016,1.0152702374999998,1.0082573249999995,1.0060324749999998,1.0190197874999998,1.0130437749999996,1.0097793249999991,0.9715169,0.9755440750000003,1.08228255,1.0317939625000003,1.0545690375000025,1.01879915,0.9830408499999994,0.9765182499999997,0.9835375000000008,0.9472792874999997,0.9997805625000002,1.0147800750000002,1.0277697874999998,0.9977691125000003,1.0572816125000002,1.0650525999999987,0.9822833749999997,1.0255453499999994,1.010268062499999,1.0067872875000017,0.9827692624999994,1.0302700875000006,1.0155431749999995
2025/04/18/10:00,0.9530437749999997,0.9765182499999997,0.9855469625000017,0.9622891875000011,0.9397806750000003,1.0185304125000012,0.9832565749999994,1.0297807874999998,1.0117936250000004,1.0588078125000013,0.9605450499999995,0.9822814249999997,1.0392948249999998,1.043801962499998,0.9995069875000003,0.9497783875,0.9972808249999997,1.0152702374999998,0.9845119375000011,1.0975512125,0.9955383375000016,1.0152702374999998,1.0082573249999995,1.0060324749999998,1.0190197874999998,1.0038030499999997,0.9967885999999991,0.9715169,0.9755440750000003,1.08228255,1.0317939625000003,1.0545690375000025,1.01879915,0.9830408499999994,0.9765182499999997,0.9835375000000008,0.9472792874999997,0.9997805625000002,1.0147800750000002,1.0277697874999998,0.9977691125000003,1.0572816125000002,1.0650525999999987,0.9822833749999997,1.0163046249999994,1.010268062499999,1.0067872875000017,0.9827692624999994,1.0302700875000006,1.0155431749999995
2025/04/18/11:00,0.9530437749999997,0.9765182499999997,0.9855469625000017,0.9622891875000011,0.9397806750000003,1.0185304125000012,0.9832565749999994,1.0297807874999998,1.0117936250000004,1.0408170125000014,0.9605450499999995,0.9822814249999997,1.0392948249999998,1.025811162499998,0.9995069875000003,0.9497783875,0.9972808249999997,1.0152702374999998,0.9845119375000011,1.0975512125,0.9955383375000016,1.0152702374999998,1.0082573249999995,1.0060324749999998,1.0190197874999998,1.0038030499999997,0.9967885999999991,0.9715169,0.9755440750000003,1.08228255,1.0138031625000004,1.0545690375000025,1.01879915,0.9830408499999994,0.9765182499999997,0.9835375000000008,0.9472792874999997,0.9997805625000002,1.0147800750000002,1.0277697874999998,0.9977691125000003,1.0572816125000002,1.0470617999999985,0.9822833749999997,1.0163046249999994,1.010268062499999,1.0067872875000017,0.9827692624999994,1.0302700875000006,1.0155431749999995
2025/04/18/12:00,0.9238025999999997,0.9765182499999997,0.9855469625000017,0.9622891875000011,0.9630395000000003,1.0185304125000012,0.9832565749999994,1.0297807874999998,1.0117936250000004,1.0408170125000014,0.9605450499999995,0.9822814249999997,1.0392948249999998,1.025811162499998,0.9995069875000003,0.9497783875,0.9972808249999997,1.0152702374999998,0.9845119375000011,1.0975512125,0.9955383375000016,1.0152702374999998,1.0082573249999995,1.0060324749999998,1.0190197874999998,1.0038030499999997,0.9967885999999991,0.9715169,0.9755440750000003,1.08228255,1.0138031625000004,1.0545690375000025,1.01879915,0.9830408499999994,0.9765182499999997,0.9835375000000008,0.9472792874999997,0.9997805625000002,1.0147800750000002,1.0277697874999998,0.9977691125000003,1.0572816125000002,1.0470617999999985,0.9822833749999997,1.0163046249999994,1.010268062499999,1.0067872875000017,0.9827692624999994,1.0302700875000006,1.0155431749999995
2025/04/18/13:00,0.9238025999999997,0.9765182499999997,0.9855469625000017,0.9622891875000011,0.9630395000000003,1.0185304125000012,0.9832565749999994,1.0297807874999998,0.9775520750000003,1.0408170125000014,0.9605450499999995,0.9822814249999997,1.0392948249999998,1.025811162499998,0.9995069875000003,0.9497783875,0.9972808249999997,1.0152702374999998,0.9845119375000011,1.0975512125,0.9955383375000016,1.0152702374999998,1.0082573249999995,1.0060324749999998,1.0190197874999998,1.0038030499999997,0.9967885999999991,0.9715169,0.9755440750000003,1.08228255,1.0138031625000004,1.0545690375000025,1.01879915,0.9830408499999994,0.9765182499999997,0.9835375000000008,0.9472792874999997,0.9997805625000002,1.0147800750000002,1.0277697874999998,0.9977691125000003,1.0572816125000002,1.0470617999999985,0.9822833749999997,1.0163046249999994,1.010268062499999,1.0067872875000017,0.9827692624999994,1.0302700875000006,1.0155431749999995
