term,ensemble,self-reflection,pred_term,width,profit_rates,MDD,profit_product
2021/12/31/15:00,"['15P', '25C', '30P']",0.11,15,10,2.2773382582273967,0.3251248945145864,2.87488307562724
2022/07/15/15:00,"['10HL', '20HL', '40P']",0.07,10,30,2.9350008762994846,0.2476063215154631,3.5512205214265253
2022/01/15/15:00,"['10HL', '20C', '25HL']",0.02,40,60,2.184790985302592,0.3708991057643835,2.4181619513029093
2022/01/31/15:00,"['10HL', '20C', '25HL']",0.09,20,40,2.8637348135403538,0.3496811411387605,4.5049928310158345
2022/02/15/15:00,"['25P', '30HL', '40HL']",0.02,20,20,2.1969267781304507,0.2702736176675946,2.3614024071884256
2022/02/28/15:00,"['10HL', '15C', '30HL']",0.03,20,30,1.5176942211293998,0.4801137599546319,1.397312508270317
2022/03/15/15:00,"['10C', '20HL', '20P']",0.09,35,10,1.9768426048206915,0.42647105016140135,2.1542019638229246
2022/03/31/15:00,"['15HL', '15P', '5HL']",0.12,35,40,2.02207936969815,0.1944328109575859,2.080664889217977
2022/04/15/15:00,"['25P', '30HL', '5P']",0.08,15,40,2.2465099051307567,0.1478158345833751,2.92258169202137
