dates,model0,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19
2021/01/04/10:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021/01/04/11:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021/01/04/12:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021/01/04/13:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021/01/04/14:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021/01/04/15:00,1.040854073310275,1.0,1.040854073310275,1.0,1.0,1.0,1.0,1.040854073310275,1.040854073310275,1.040854073310275,1.0,1.040854073310275,1.0,1.040854073310275,1.040854073310275,1.040854073310275,1.0,1.0115837850225282,1.040854073310275,1.040854073310275
2021/01/05/09:00,1.040854073310275,1.0,1.040854073310275,1.0,1.0,1.0,1.0,1.040854073310275,1.040854073310275,1.040854073310275,1.0,1.040854073310275,1.0,1.040854073310275,1.040854073310275,1.040854073310275,1.0,1.0115837850225282,1.040854073310275,1.040854073310275
2021/01/05/10:00,1.040854073310275,1.0,1.040854073310275,1.0,1.0,1.0,0.9361025205637532,1.040854073310275,1.040854073310275,0.976956593874028,1.0,0.976956593874028,0.9361025205637532,1.040854073310275,1.040854073310275,1.040854073310275,1.0,1.0115837850225282,1.040854073310275,1.040854073310275
2021/01/05/11:00,1.040854073310275,1.0,1.040854073310275,0.9977204829282472,1.0,1.0,0.8737455826163356,1.040854073310275,1.040854073310275,0.9145996559266104,1.0,0.9145996559266104,0.8737455826163356,1.040854073310275,1.040854073310275,1.040854073310275,1.0,1.0115837850225282,1.040854073310275,1.040854073310275
2021/01/05/12:00,1.040854073310275,1.0,1.040854073310275,0.9977204829282472,1.0,0.9653711451166039,0.8737455826163356,1.040854073310275,1.040854073310275,0.9145996559266104,1.0,0.9145996559266104,0.8737455826163356,1.040854073310275,1.040854073310275,1.040854073310275,1.0,1.0115837850225282,1.040854073310275,1.040854073310275
