term,ensemble,self-reflection,pred_term,width,profit_rates,MDD,profit_product
2020/12/31/15:00,"[""25C"", ""5C"", ""5P""] ",0.15,7,44,3.818918127,0.32756277,4.15456517
2021/01/31/15:00,"[""15HL"", ""20P"", ""5P""] ",0.28,28,30,6.771335905,0.280428495,51.58734053
2021/02/28/15:00,"[""15HL"", ""30P"", ""40HL""] ",0.27,15,39,5.359744805,0.319857704,16.27462546
2021/03/31/15:00,"[""10P"", ""15P"", ""30C""] ",0.27,25,28,1.657644979,0.470612882,1.670191349
2021/04/30/15:00,"[""10C"", ""25P"", ""40HL""] ",0.18,33,61,1.471896109,0.625704897,1.523464022
2021/05/31/15:00,"[""15P"", ""25C"", ""40P""] ",0.28,13,52,2.103742386,0.374639242,2.605654204
2021/06/30/15:00,"[""15P"", ""25C"", ""40P""] ",0.28,13,52,2.103742386,0.374639242,2.605654204
2021/07/31/15:00,"[""10HL"", ""40HL"", ""5HL""] ",0.13,6,62,1.929065986,0.482067243,1.475886701
2021/08/31/15:00,"[""15P"", ""5C"", ""5HL""] ",0.12,34,26,3.091998407,0.454629021,4.524206499
2021/09/30/15:00,"[""20P"", ""25P"", ""40P""] ",0.31,23,38,2.601881285,0.380674667,3.175595175
2021/10/31/15:00,"[""10C"", ""20HL"", ""25P""] ",0.24,33,24,2.103814582,0.541824397,1.728612534
2021/11/30/15:00,"[""15P"", ""25P"", ""30C""] ",0.26,28,31,2.484331464,0.445270494,2.5221253
